,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'race_AfricanAmerican'}),frozenset({'gender_Female'}),0.2063,0.5398,0.1261,0.6112457586039747,1.132355981111476,0.01473925999999999,1.1837812967581045
1,frozenset({'race_AfricanAmerican'}),frozenset({'admission_type_id_Emergency'}),0.2063,0.6279,0.1416,0.6863790596219098,1.0931343520017676,0.012064229999999981,1.1864641421947448
2,frozenset({'race_AfricanAmerican'}),frozenset({'discharge_disposition_id_Discharged to home'}),0.2063,0.666,0.1454,0.7047988366456617,1.0582565114799725,0.008004199999999989,1.131431855500821
3,frozenset({'race_AfricanAmerican'}),frozenset({'admission_source_id_Emergency Room'}),0.2063,0.5913,0.1257,0.6093068347067377,1.0304529590846232,0.003714809999999985,1.0460894540942927
4,frozenset({'race_AfricanAmerican'}),frozenset({'number_outpatient_0'}),0.2063,0.8682,0.1891,0.9166262724188075,1.0557777844031415,0.009990339999999986,1.5808337209302308
5,frozenset({'race_AfricanAmerican'}),frozenset({'number_emergency_0'}),0.2063,0.9246,0.1863,0.9030538051381483,0.9766967392798489,-0.004444980000000015,0.7777509999999996
6,frozenset({'race_AfricanAmerican'}),frozenset({'number_inpatient_0'}),0.2063,0.7541,0.1523,0.7382452738730004,0.9789753001896306,-0.0032708300000000023,0.9394290740740739
7,frozenset({'race_AfricanAmerican'}),frozenset({'diabetesMed_Yes'}),0.2063,0.7478,0.1541,0.7469704314105671,0.9988906544671932,-0.00017114000000001406,0.996721455938697
8,frozenset({'race_AfricanAmerican'}),frozenset({'readmitted_No'}),0.2063,0.6035,0.1341,0.6500242365487154,1.0770906985065707,0.00959794999999998,1.1329355955678668
9,frozenset({'gender_Female'}),frozenset({'race_Caucasian'}),0.5398,0.7359,0.3826,0.7087810300111153,0.9631485663964061,-0.014638819999999941,0.9068777353689569
10,frozenset({'race_Caucasian'}),frozenset({'gender_Female'}),0.7359,0.5398,0.3826,0.51990759614078,0.9631485663964061,-0.014638819999999941,0.958565468440419
11,frozenset({'race_Caucasian'}),frozenset({'gender_Male'}),0.7359,0.4602,0.3533,0.48009240385922003,1.0432255624928728,0.014638819999999997,1.0382614218504969
12,frozenset({'gender_Male'}),frozenset({'race_Caucasian'}),0.4602,0.7359,0.3533,0.767709691438505,1.0432255624928726,0.014638819999999997,1.1369393826005612
